#remember to insert a 'tab' or several spaces at the beginning
#of each line...Fortran does not read the first two or 
#three bytes of each line. Don't know why yet. --Hao
#z	H(z)	error
	0.09	69	12
	0.17	83	8
	0.24	79.69	2.65
	0.27	77	14
	0.4	95	17
	0.43	86.45	3.68
	0.48	97	62
	0.88	90	40
	0.9	117	23 
	1.3	168	17
	1.43	177	18
	1.53	140	14
	1.75	202	40
